                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2885,                   3.47,                0.98501,                0.12693,                0.53434,                0.10431,                0.06275,                 1.2717,                  22.93,                0.90868,             0.00035007,             0.00035007,             0.00035007
                      2,                 1.0856,                  1.144,                0.89067,                0.12025,                 0.6448,                0.10693,                0.05558,                 1.4122,                 53.172,                0.91833,             0.00071208,             0.00071208,             0.00071208
                      3,                 1.0794,                 0.8864,                0.90333,                0.52613,                0.73328,                0.50809,                0.27362,                 1.5052,                 5.5288,                0.96968,              0.0010692,              0.0010692,              0.0010692
                      4,                 1.1301,                0.84582,                0.90725,                0.47425,                0.49281,                0.36774,                0.17544,                 1.7455,                 2.8721,                 1.0565,              0.0014216,              0.0014216,              0.0014216
                      5,                 1.0745,                0.83228,                  0.891,                0.29469,                0.14989,                0.11548,                0.07202,                  2.102,                  4.363,                 1.1801,               0.001623,               0.001623,               0.001623
                      6,                 1.0365,                 0.7655,                0.88588,                0.72216,                 0.5823,                0.61082,                0.35797,                 1.2822,                 1.4234,                0.95363,               0.001623,               0.001623,               0.001623
                      7,                 1.0663,                0.72432,                0.89085,                 0.7386,                0.61428,                0.69289,                0.40985,                 1.2741,                  1.228,                0.92511,               0.001612,               0.001612,               0.001612
                      8,                 1.0502,                 0.7993,                0.90698,                0.63978,                0.60488,                0.65315,                0.43416,                 1.1842,                 0.9986,                  0.923,               0.001601,               0.001601,               0.001601
                      9,                0.98228,                0.69507,                0.88035,                0.66594,                0.68988,                0.69327,                0.43036,                  1.178,                 1.1207,                0.88879,                0.00159,                0.00159,                0.00159
                     10,                0.95854,                0.63163,                0.87706,                0.94174,                 0.7847,                0.83743,                 0.5335,                  1.113,                0.62285,                0.88242,               0.001579,               0.001579,               0.001579
                     11,                0.93821,                0.65344,                0.89001,                0.82164,                0.85242,                0.85361,                 0.5409,                 1.0999,                0.67654,                0.89288,               0.001568,               0.001568,               0.001568
                     12,                0.95115,                0.60699,                0.87345,                0.86985,                0.78841,                0.85102,                0.54428,                  1.127,                0.72718,                0.88212,               0.001557,               0.001557,               0.001557
                     13,                0.98932,                0.61555,                0.86879,                 0.8268,                0.79688,                0.83979,                0.55144,                 1.1258,                0.61992,                0.88363,               0.001546,               0.001546,               0.001546
                     14,                0.95481,                0.61482,                0.87091,                0.85692,                0.79493,                0.86633,                0.54004,                 1.1492,                0.69625,                0.88977,               0.001535,               0.001535,               0.001535
                     15,                  0.936,                0.61516,                0.88111,                0.90443,                0.78143,                0.84629,                0.54774,                 1.0945,                0.65469,                0.87295,               0.001524,               0.001524,               0.001524
                     16,                0.94007,                0.57689,                 0.8713,                0.83158,                0.82812,                0.87549,                0.58034,                 1.0272,                 0.5901,                0.86728,               0.001513,               0.001513,               0.001513
                     17,                0.95582,                0.57642,                0.85872,                0.86794,                0.79438,                0.85257,                0.55962,                  1.062,                0.67564,                0.87809,               0.001502,               0.001502,               0.001502
                     18,                0.88941,                0.53662,                0.85756,                0.86311,                0.88718,                0.90541,                0.60263,                 1.0295,                0.56419,                0.87892,               0.001491,               0.001491,               0.001491
                     19,                0.91137,                 0.5315,                0.85835,                 0.8631,                0.88576,                0.92116,                 0.6025,                 1.0271,                 0.5883,                0.86551,                0.00148,                0.00148,                0.00148
                     20,                0.83815,                 0.5213,                 0.8531,                0.89337,                 0.8328,                0.89764,                0.57998,                 1.0369,                0.59286,                0.85774,               0.001469,               0.001469,               0.001469
                     21,                0.82574,                0.51008,                0.84222,                0.92034,                0.87644,                0.92066,                0.61771,                 1.0237,                0.49637,                0.85764,               0.001458,               0.001458,               0.001458
                     22,                0.85641,                 0.5432,                0.85589,                0.93936,                 0.8125,                 0.8965,                0.60381,                 1.0442,                0.56616,                0.85829,               0.001447,               0.001447,               0.001447
                     23,                0.86755,                0.51405,                0.85586,                0.88536,                0.86567,                0.89156,                0.59018,                 1.0306,                0.56819,                0.86562,               0.001436,               0.001436,               0.001436
